sku,name,category,price,stock
KI-7678,classic aluminum grinder,kitchen,59.99,106
AU-1320,wireless aluminum headphones,audio,149.99,122
AU-7389,portable fabric earbuds,audio,79.50,124
KI-1475,wireless aluminum toaster,kitchen,79.95,171
ST-8657,modern fabric shelf,storage,29.00,232
OF-8022,compact steel tray,office,29.99,46
AU-4467,wireless bamboo earbuds,audio,99.95,86
OF-2341,wireless bamboo lamp,office,99.00,191
LI-2124,slim oak sconce,lighting,19.00,243
KI-3496,compact ceramic grinder,kitchen,39.50,121
ST-5198,heavy-duty aluminum crate,storage,59.50,155
LI-2771,modern bamboo sconce,lighting,149.00,237
OU-4249,wireless aluminum flask,outdoor,24.50,26
ST-1672,classic fabric rack,storage,59.99,169
OU-7882,slim steel lantern,outdoor,99.00,110
OU-3885,modern aluminum tarp,outdoor,129.95,157
LI-5397,stackable aluminum strip,lighting,59.50,212
AU-8613,stackable oak earbuds,audio,149.99,86
AU-8988,slim oak soundbar,audio,39.95,204
OU-5526,portable ceramic stool,outdoor,129.00,132
KI-7658,heavy-duty glass kettle,kitchen,99.50,176
OF-1282,stackable fabric stand,office,24.95,56
OF-7046,portable glass organizer,office,99.95,108
ST-8434,slim bamboo box,storage,49.95,64
KI-2958,heavy-duty bamboo kettle,kitchen,129.50,49
KI-9595,portable glass blender,kitchen,149.95,25
KI-3939,heavy-duty bamboo toaster,kitchen,49.00,181
LI-1893,portable steel floor-lamp,lighting,129.95,178
KI-1200,classic fabric blender,kitchen,149.95,120
OF-1841,slim oak stand,office,49.99,29
AU-1878,stackable steel soundbar,audio,29.50,207
LI-2940,classic oak pendant,lighting,129.99,155
LI-9561,heavy-duty fabric spot,lighting,79.99,232
OF-1986,wireless bamboo lamp,office,149.00,242
KI-2330,portable glass grinder,kitchen,29.50,44
LI-7693,modern steel sconce,lighting,99.99,74
AU-5632,portable glass headphones,audio,99.00,175
KI-2880,heavy-duty aluminum toaster,kitchen,129.50,165
KI-1977,modern steel toaster,kitchen,29.95,152
ST-3037,portable aluminum box,storage,99.95,179
OF-2317,stackable aluminum lamp,office,149.00,227
OF-2496,portable steel lamp,office,39.00,195
ST-3870,compact fabric rack,storage,99.99,234
OU-9056,wireless glass cooler,outdoor,24.99,89
OF-2713,slim glass lamp,office,29.95,105
ST-7561,portable glass shelf,storage,129.00,116
